Attendance (%),Bengali,English,Math,Science,Total mark,Assignment Score,class participation,Study Hours per Week,Class Participation Score,Attendance_Scaled,Academic_Score,Engagement_Score,Effort_Score,Final_Performance_Score,Cluster,Cluster_Label,Weakest_Subject,AI_Tutor_Feedback,Risk_Level
67.0,3.0,8.0,9.0,2.0,5.5,7.0,4.0,2.0,5.0,6.7,5.5,5.35,4.5,5.255,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
53.0,9.0,6.0,0.0,2.0,4.25,2.0,4.0,8.0,10.0,5.3,4.25,4.65,5.0,4.52,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Math performance.,High Risk
66.0,3.0,6.0,6.0,9.0,6.0,9.0,3.0,4.0,10.0,6.6,6.0,4.8,6.5,5.739999999999999,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
84.0,10.0,10.0,6.0,9.0,8.75,10.0,0.0,10.0,6.0,8.4,8.75,4.2,10.0,7.635,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. You are studying but may need better learning strategies. Focus more on improving your Math performance.,Medium Risk
91.0,0.0,6.0,5.0,9.0,5.0,10.0,4.0,8.0,1.0,9.1,5.0,6.55,9.0,6.265,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
66.0,9.0,10.0,2.0,5.0,6.5,9.0,6.0,3.0,2.0,6.6,6.5,6.3,6.0,6.34,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
75.0,0.0,0.0,5.0,4.0,2.25,8.0,2.0,7.0,1.0,7.5,2.25,4.75,7.5,4.05,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
99.0,1.0,9.0,8.0,10.0,7.0,10.0,3.0,7.0,8.0,9.9,7.0,6.45,8.5,7.135000000000001,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
95.0,5.0,5.0,3.0,3.0,4.0,4.0,1.0,5.0,3.0,9.5,4.0,5.25,4.5,4.4750000000000005,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,High Risk
75.0,5.0,6.0,10.0,4.0,6.25,1.0,3.0,3.0,9.0,7.5,6.25,5.25,2.0,5.1000000000000005,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
98.0,10.0,3.0,0.0,8.0,5.25,3.0,8.0,8.0,4.0,9.8,5.25,8.9,5.5,6.395,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
65.0,6.0,3.0,0.0,1.0,2.5,10.0,1.0,1.0,3.0,6.5,2.5,3.75,5.5,3.475,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,High Risk
87.0,4.0,0.0,4.0,2.0,2.5,2.0,8.0,5.0,4.0,8.7,2.5,8.35,3.5,4.455,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
61.0,5.0,8.0,1.0,5.0,4.75,1.0,7.0,9.0,5.0,6.1,4.75,6.55,5.0,5.34,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
73.0,2.0,9.0,3.0,9.0,5.75,2.0,4.0,6.0,4.0,7.3,5.75,5.65,4.0,5.37,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
88.0,5.0,0.0,10.0,6.0,5.25,2.0,0.0,8.0,4.0,8.8,5.25,4.4,5.0,4.945,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
83.0,0.0,8.0,10.0,6.0,6.0,6.0,0.0,3.0,4.0,8.3,6.0,4.15,4.5,5.1450000000000005,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
81.0,7.0,0.0,6.0,10.0,5.75,4.0,8.0,9.0,4.0,8.1,5.75,8.05,6.5,6.59,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
88.0,6.0,2.0,6.0,4.0,4.5,6.0,9.0,5.0,7.0,8.8,4.5,8.9,5.5,6.02,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
96.0,10.0,2.0,10.0,9.0,7.75,3.0,7.0,3.0,2.0,9.6,7.75,8.3,3.0,6.965,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
55.0,8.0,3.0,6.0,10.0,6.75,3.0,1.0,3.0,1.0,5.5,6.75,3.25,3.0,4.949999999999999,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your English performance.,High Risk
98.0,3.0,7.0,2.0,2.0,3.5,7.0,6.0,4.0,6.0,9.8,3.5,7.9,5.5,5.220000000000001,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
80.0,3.0,3.0,0.0,6.0,3.0,5.0,7.0,7.0,1.0,8.0,3.0,7.5,6.0,4.95,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,High Risk
52.0,4.0,9.0,8.0,8.0,7.25,8.0,6.0,3.0,2.0,5.2,7.25,5.6,5.5,6.404999999999999,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,Medium Risk
74.0,5.0,7.0,9.0,4.0,6.25,10.0,7.0,3.0,5.0,7.4,6.25,7.2,6.5,6.585,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
95.0,6.0,3.0,7.0,10.0,6.5,7.0,1.0,6.0,8.0,9.5,6.5,5.25,6.5,6.125,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
89.0,3.0,9.0,8.0,9.0,7.25,2.0,0.0,10.0,7.0,8.9,7.25,4.45,6.0,6.16,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. You are studying but may need better learning strategies. Focus more on improving your Bengali performance.,Medium Risk
83.0,2.0,3.0,7.0,10.0,5.5,4.0,4.0,7.0,3.0,8.3,5.5,6.15,5.5,5.695,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
89.0,0.0,3.0,8.0,5.0,4.0,0.0,9.0,5.0,1.0,8.9,4.0,8.95,2.5,5.185,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
79.0,7.0,0.0,3.0,0.0,2.5,0.0,4.0,5.0,10.0,7.9,2.5,5.95,2.5,3.535,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
70.0,0.0,9.0,6.0,3.0,4.5,1.0,6.0,2.0,7.0,7.0,4.5,6.5,1.5,4.5,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
84.0,7.0,0.0,10.0,1.0,4.5,1.0,1.0,5.0,6.0,8.4,4.5,4.7,3.0,4.26,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
81.0,8.0,0.0,6.0,9.0,5.75,3.0,1.0,8.0,1.0,8.1,5.75,4.55,5.5,5.34,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
87.0,3.0,9.0,2.0,1.0,3.75,6.0,5.0,8.0,2.0,8.7,3.75,6.85,7.0,5.33,2,Average Performer,Science,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
61.0,5.0,2.0,9.0,5.0,5.25,6.0,4.0,3.0,2.0,6.1,5.25,5.05,4.5,5.04,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
70.0,4.0,4.0,5.0,0.0,3.25,9.0,5.0,10.0,8.0,7.0,3.25,6.0,9.5,5.325,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Focus more on improving your Science performance.,Medium Risk
89.0,0.0,5.0,1.0,0.0,1.5,1.0,2.0,10.0,2.0,8.9,1.5,5.45,5.5,3.485,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Focus more on improving your Bengali performance.,High Risk
58.0,10.0,1.0,1.0,10.0,5.5,8.0,0.0,5.0,1.0,5.8,5.5,2.9,6.5,4.92,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your English performance.,High Risk
100.0,5.0,0.0,2.0,3.0,2.5,3.0,5.0,1.0,7.0,10.0,2.5,7.5,2.0,3.9,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
77.0,0.0,7.0,1.0,4.0,3.0,10.0,0.0,5.0,6.0,7.7,3.0,3.85,7.5,4.155,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
75.0,6.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,7.0,7.5,3.0,5.75,1.5,3.5249999999999995,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,High Risk
78.0,9.0,2.0,8.0,7.0,6.5,1.0,8.0,9.0,1.0,7.8,6.5,7.9,5.0,6.62,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
62.0,4.0,1.0,10.0,6.0,5.25,4.0,3.0,4.0,2.0,6.2,5.25,4.6,4.0,4.805,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
64.0,7.0,6.0,10.0,5.0,7.0,6.0,10.0,7.0,4.0,6.4,7.0,8.2,6.5,7.259999999999999,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
92.0,2.0,7.0,10.0,5.0,6.0,3.0,5.0,8.0,3.0,9.2,6.0,7.1,5.5,6.23,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
54.0,9.0,10.0,9.0,5.0,8.25,7.0,9.0,5.0,5.0,5.4,8.25,7.2,6.0,7.485,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Science performance.,Medium Risk
86.0,8.0,0.0,5.0,1.0,3.5,0.0,3.0,5.0,3.0,8.6,3.5,5.8,2.5,3.99,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
88.0,1.0,7.0,3.0,0.0,2.75,8.0,5.0,5.0,10.0,8.8,2.75,6.9,6.5,4.745,2,Average Performer,Science,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,High Risk
83.0,9.0,0.0,4.0,9.0,5.5,3.0,3.0,10.0,6.0,8.3,5.5,5.65,6.5,5.745,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. You are studying but may need better learning strategies. Focus more on improving your English performance.,Medium Risk
71.0,5.0,9.0,2.0,10.0,6.5,5.0,9.0,5.0,1.0,7.1,6.5,8.05,5.0,6.665,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
58.0,0.0,4.0,6.0,7.0,4.25,5.0,2.0,5.0,7.0,5.8,4.25,3.9,5.0,4.295,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,High Risk
93.0,6.0,5.0,8.0,9.0,7.0,5.0,1.0,9.0,2.0,9.3,7.0,5.15,7.0,6.445,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
60.0,10.0,5.0,9.0,3.0,6.75,7.0,3.0,7.0,10.0,6.0,6.75,4.5,7.0,6.125,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
90.0,3.0,8.0,4.0,6.0,5.25,2.0,6.0,10.0,6.0,9.0,5.25,7.5,6.0,6.075,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. You are studying but may need better learning strategies. Focus more on improving your Bengali performance.,Medium Risk
98.0,1.0,9.0,3.0,9.0,5.5,7.0,0.0,6.0,3.0,9.8,5.5,4.9,6.5,5.52,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
55.0,0.0,6.0,9.0,10.0,6.25,1.0,6.0,6.0,1.0,5.5,6.25,5.75,3.5,5.55,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Bengali performance.,Medium Risk
67.0,6.0,8.0,5.0,8.0,6.75,7.0,5.0,6.0,7.0,6.7,6.75,5.85,6.5,6.43,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
74.0,8.0,9.0,7.0,10.0,8.5,7.0,4.0,3.0,7.0,7.4,8.5,5.7,5.0,6.96,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
64.0,8.0,5.0,10.0,7.0,7.5,5.0,3.0,6.0,3.0,6.4,7.5,4.7,5.5,6.26,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
70.0,10.0,4.0,8.0,1.0,5.75,4.0,6.0,7.0,5.0,7.0,5.75,6.5,5.5,5.925000000000001,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
80.0,9.0,6.0,10.0,0.0,6.25,1.0,1.0,7.0,6.0,8.0,6.25,4.5,4.0,5.2749999999999995,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
50.0,5.0,0.0,2.0,10.0,4.25,2.0,8.0,3.0,6.0,5.0,4.25,6.5,2.5,4.575,2,Average Performer,English,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your English performance.,High Risk
67.0,1.0,3.0,6.0,0.0,2.5,0.0,0.0,9.0,5.0,6.7,2.5,3.35,4.5,3.155,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,High Risk
61.0,0.0,6.0,3.0,0.0,2.25,2.0,2.0,9.0,5.0,6.1,2.25,4.05,5.5,3.44,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
94.0,7.0,6.0,1.0,2.0,4.0,7.0,8.0,5.0,6.0,9.4,4.0,8.7,6.0,5.81,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
78.0,6.0,5.0,0.0,4.0,3.75,10.0,4.0,7.0,4.0,7.8,3.75,5.9,8.5,5.345000000000001,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
78.0,10.0,8.0,2.0,3.0,5.75,7.0,4.0,3.0,9.0,7.8,5.75,5.9,5.0,5.645,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
89.0,9.0,3.0,5.0,9.0,6.5,2.0,9.0,10.0,3.0,8.9,6.5,8.95,6.0,7.135,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. You are studying but may need better learning strategies. Focus more on improving your English performance.,Medium Risk
66.0,9.0,3.0,2.0,9.0,5.75,5.0,10.0,6.0,8.0,6.6,5.75,8.3,5.5,6.465,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
71.0,3.0,5.0,1.0,10.0,4.75,0.0,5.0,4.0,6.0,7.1,4.75,6.05,2.0,4.59,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,High Risk
62.0,9.0,0.0,7.0,7.0,5.75,0.0,4.0,8.0,4.0,6.2,5.75,5.1,4.0,5.204999999999999,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,Medium Risk
94.0,3.0,7.0,4.0,7.0,5.25,9.0,9.0,7.0,5.0,9.4,5.25,9.2,8.0,6.984999999999999,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
52.0,3.0,9.0,0.0,7.0,4.75,4.0,9.0,4.0,9.0,5.2,4.75,7.1,4.0,5.305,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Math performance.,Medium Risk
84.0,5.0,5.0,5.0,0.0,3.75,9.0,2.0,10.0,7.0,8.4,3.75,5.2,9.5,5.335,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Focus more on improving your Science performance.,Medium Risk
84.0,5.0,6.0,7.0,0.0,4.5,8.0,7.0,1.0,7.0,8.4,4.5,7.7,4.5,5.460000000000001,2,Average Performer,Science,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
75.0,7.0,4.0,4.0,4.0,4.75,0.0,0.0,3.0,8.0,7.5,4.75,3.75,1.5,3.8,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
82.0,4.0,5.0,0.0,7.0,4.0,9.0,6.0,6.0,2.0,8.2,4.0,7.1,7.5,5.63,2,Average Performer,Math,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
66.0,4.0,9.0,4.0,4.0,5.25,10.0,7.0,9.0,6.0,6.6,5.25,6.8,9.5,6.565,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
98.0,4.0,5.0,6.0,4.0,4.75,10.0,7.0,5.0,5.0,9.8,4.75,8.4,7.5,6.395,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
65.0,6.0,2.0,5.0,9.0,5.5,9.0,0.0,2.0,6.0,6.5,5.5,3.25,5.5,4.825,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your English performance.,High Risk
71.0,0.0,7.0,2.0,9.0,4.5,2.0,9.0,6.0,2.0,7.1,4.5,8.05,4.0,5.465,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
63.0,5.0,9.0,2.0,2.0,4.5,0.0,5.0,10.0,6.0,6.3,4.5,5.65,5.0,4.945,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Focus more on improving your Math performance.,High Risk
92.0,7.0,3.0,9.0,1.0,5.0,1.0,5.0,7.0,10.0,9.2,5.0,7.1,4.0,5.43,2,Average Performer,Science,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
52.0,10.0,8.0,9.0,8.0,8.75,8.0,4.0,7.0,9.0,5.2,8.75,4.6,7.5,7.255,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your English performance.,Medium Risk
51.0,8.0,7.0,6.0,8.0,7.25,3.0,3.0,9.0,10.0,5.1,7.25,4.05,6.0,6.04,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your Math performance.,Medium Risk
78.0,3.0,4.0,2.0,0.0,2.25,1.0,6.0,10.0,1.0,7.8,2.25,6.9,5.5,4.295,2,Average Performer,Science,You are performing moderately well but there is room for improvement. You are studying but may need better learning strategies. Focus more on improving your Science performance.,High Risk
86.0,4.0,9.0,0.0,8.0,5.25,1.0,4.0,9.0,2.0,8.6,5.25,6.3,5.0,5.515,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
91.0,6.0,9.0,6.0,10.0,7.75,9.0,8.0,8.0,7.0,9.1,7.75,8.55,8.5,8.14,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Low Risk
62.0,2.0,8.0,6.0,0.0,4.0,0.0,4.0,6.0,10.0,6.2,4.0,5.1,3.0,4.13,0,At-Risk Student,Science,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,High Risk
86.0,5.0,8.0,1.0,1.0,3.75,0.0,2.0,3.0,9.0,8.6,3.75,5.3,1.5,3.7649999999999997,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,High Risk
75.0,9.0,4.0,1.0,10.0,6.0,9.0,3.0,9.0,6.0,7.5,6.0,5.25,9.0,6.375,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
80.0,1.0,4.0,6.0,4.0,3.75,1.0,8.0,4.0,6.0,8.0,3.75,8.0,2.5,4.775,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
78.0,9.0,6.0,9.0,10.0,8.5,2.0,9.0,10.0,5.0,7.8,8.5,8.4,6.0,7.97,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. You are studying but may need better learning strategies. Focus more on improving your English performance.,Medium Risk
90.0,5.0,10.0,4.0,9.0,7.0,2.0,1.0,1.0,6.0,9.0,7.0,5.0,1.5,5.3,1,High Performer,Math,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,Medium Risk
82.0,1.0,3.0,0.0,4.0,2.0,9.0,2.0,10.0,8.0,8.2,2.0,5.1,9.5,4.43,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Focus more on improving your Math performance.,High Risk
60.0,1.0,8.0,10.0,2.0,5.25,6.0,3.0,3.0,3.0,6.0,5.25,4.5,4.5,4.875,0,At-Risk Student,Bengali,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
78.0,6.0,8.0,0.0,10.0,6.0,0.0,0.0,1.0,2.0,7.8,6.0,3.9,0.5,4.27,0,At-Risk Student,Math,Your performance indicates risk. Immediate attention is required. Low academic score may be due to insufficient study hours. Focus more on improving your Math performance.,High Risk
56.0,8.0,2.0,9.0,4.0,5.75,5.0,10.0,5.0,4.0,5.6,5.75,7.8,5.0,6.215,1,High Performer,English,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Low attendance is affecting your academic performance. Focus more on improving your English performance.,Medium Risk
100.0,2.0,2.0,3.0,3.0,2.5,2.0,3.0,5.0,9.0,10.0,2.5,6.5,3.5,3.9000000000000004,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,High Risk
60.0,4.0,7.0,9.0,6.0,6.5,0.0,6.0,4.0,3.0,6.0,6.5,6.0,2.0,5.45,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
92.0,6.0,8.0,8.0,10.0,8.0,0.0,3.0,5.0,5.0,9.2,8.0,6.1,2.5,6.33,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
71.0,3.0,10.0,10.0,2.0,6.25,6.0,8.0,7.0,4.0,7.1,6.25,7.55,6.5,6.6899999999999995,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
91.0,10.0,0.0,2.0,7.0,4.75,0.0,2.0,10.0,8.0,9.1,4.75,5.55,5.0,5.04,0,At-Risk Student,English,Your performance indicates risk. Immediate attention is required. You are studying but may need better learning strategies. Focus more on improving your English performance.,Medium Risk
70.0,5.0,10.0,7.0,7.0,7.25,3.0,8.0,2.0,3.0,7.0,7.25,7.5,2.5,6.375,1,High Performer,Bengali,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
61.0,9.0,5.0,9.0,4.0,6.75,2.0,7.0,6.0,2.0,6.1,6.75,6.55,4.0,6.14,1,High Performer,Science,Excellent overall performance. Keep maintaining consistency. Low academic score may be due to insufficient study hours. Focus more on improving your Science performance.,Medium Risk
89.0,1.0,9.0,2.0,6.0,4.5,7.0,7.0,5.0,6.0,8.9,4.5,7.95,6.0,5.835,2,Average Performer,Bengali,You are performing moderately well but there is room for improvement. Low academic score may be due to insufficient study hours. Focus more on improving your Bengali performance.,Medium Risk
